id,prefecture_ja,prefecture_en,dish_ja,dish_en,category_en,description_en,description_ja,image_path,source,region
1,北海道,Hokkaido,ジンギスカン,Jingisukan,Grilled Lamp,"It is prepared on a special convex grill where lamb or mutton is cooked together with vegetables such as onions, bean sprouts, pumpkin, and cabbage. The dome-shaped grill allows the meat to cook in the center while the juices run down to flavor the vegetables.",羊肉や野菜を専用の凸型鉄板で焼く北海道名物。肉汁が野菜に染み込み、ジューシーな味わいになる。,static/uploads/jingisukan.jpg,https://en.wikipedia.org/wiki/Jingisukan,Hokkaido
2,大阪,Osaka,たこ焼き,Takoyaki,Street Food,"Crispy outside, gooey inside octopus balls",外はカリッと、中はトロッとした食感のたこ焼き。大阪を代表する粉もの料理。,static/uploads/takoyaki.jpg,https://en.wikipedia.org/wiki/Takoyaki,Kansai
3,福岡,Fukuoka,とうへい鍋,Touhei Nabe,Hot Pot,Touhei Nabe is a traditional hot pot dish from Ōshima in Fukuoka Prefecture.,福岡県大島の郷土料理で、黒穴子を味噌仕立ての出汁で煮込む漁師料理。冬に体が温まる一品。,static/uploads/Touhei_Nabe_Fukuoka_fukuoka_19_1.jpg,https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/search_menu/menu/touhei_nabe_fukuoka.html,Kyushu
4,東京,Tokyo,もんじゃ焼き,Monjayaki,Savory Pancake,"A runny batter dish cooked on a griddle, enjoyed in Tokyo.",小麦粉やだしを混ぜたゆるい生地を鉄板で焼き、小さなヘラで食べる東京下町の名物料理。,static/uploads/Monjayaki_Tokyo_Tokyo.png,https://ja.wikipedia.org/wiki/%E3%82%82%E3%82%93%E3%81%98%E3%82%83%E7%84%BC%E3%81%8D,Kanto
5,青森,Aomori,せんべい汁,Senbei-jiru,Regional Hot Pot,"Soup with chicken, vegetables and special crackers.",鶏肉や野菜の入った醤油ベースの汁に、南部せんべいを加えて煮込む青森の郷土料理。,static/uploads/Senbei-jiru_Aomori_aomori_3_2.jpg,https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/search_menu/menu/senbei_jiru_aomori.html,Tohoku
6,岩手,Iwate,わんこそば,Wanko soba,Noodle Dish,Noodles served in many small bowls as an eating challenge.,小分けにしたそばを次々にお椀へ注ぎ入れる岩手の名物。食べ続け、ふたをして終了を合図する。,static/uploads/Wanko_soba_Iwate_Iwate.png,https://wankosoba.jp/wankosoba/,Tohoku
7,宮城,Miyagi,牛タン焼き,Gyutan,Grilled beef tongue,Thick slices of beef tongue grilled over charcoal.,戦後の仙台で広まった牛タン焼き。麦飯やテールスープと一緒に提供される宮城の代表的な料理。,static/uploads/Gyutan_Miyagi_Miyagi.png,https://ja.wikipedia.org/wiki/%E4%BB%99%E5%8F%B0%E7%89%9B%E3%82%BF%E3%83%B3%E7%84%BC%E3%81%8D,Tohoku
8,沖縄,Okinawa,ゴーヤチャンプル,Goya Champuru,Stir-fry Dish,"Stir-fry with bitter melon, tofu, pork, and egg.",ゴーヤ、豆腐、豚肉や卵を炒め合わせた沖縄の代表的家庭料理。健康長寿の食文化を象徴する一品。,static/uploads/Goya_Champuru_Okinawa_okinawa_11_3.jpg,https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/search_menu/menu/47_11_okinawa.html,Okinawa
9,鹿児島,Kagoshima,鳥刺し,Torisashi,Raw Poultry Dish,Thinly sliced raw or seared chicken served sashimi-style.,新鮮な鶏肉を生または表面を軽く炙って刺身のようにいただく鹿児島の郷土料理。,static/uploads/Torisashi_Kagoshima_kagoshima_4_2.jpg,https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/search_menu/menu/torisashi_kagoshima.html,Kyushu
10,宮崎,Miyazaki,チキン南蛮,Chicken Nanban,Fried Chicken,"Deep-fried chicken dipped in vinegar sauce, topped with tartar sauce.",甘酢にくぐらせた鶏の唐揚げにタルタルソースをかけた宮崎名物の洋風和食。,static/uploads/Chicken_Nanban_Miyazaki_miyazaki_2_2.jpg,https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/search_menu/menu/chikin_nanban_miyazaki.html,Kyushu
11,大分,Oita,とり天,Toriten,Tempura-style Fried Chicken,Chicken pieces coated in tempura batter and deep-fried.,鶏肉に天ぷらの衣をつけて揚げた大分の郷土料理。ポン酢やからしで食べるのが定番。,static/uploads/Toriten_Oita_oita_14_2.jpg,https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/search_menu/menu/toriten_oita.html,Kyushu
12,熊本,Kumamoto,馬刺し,Basashi,Raw Horse Meat,"Thinly sliced raw horse meat, eaten sashimi-style.",熊本名物の馬刺し。にんにくや生姜を薬味に、醤油でいただく贅沢な一品。,static/uploads/Basashi_Kumamoto_kumamoto_13_1.jpg,https://www.maff.go.jp/j/keikaku/syokubunka/k_ryouri/search_menu/menu/basashi_kumamoto.html,Kyushu
